JOURNAL_ID,JOURNAL_TITLE,ARTICLE_ID,ARTICLE_TITLE,ARTICLE_ABSTRACT
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",1,Analisis Pengambilan Keputusan Pembelian Petani dalam Memilih Benih Kelapa Sawit Bersertifikat dan Non Bersertifikat di Kabupaten Labuhan Batu Utara ,"Penelitian ini bertujuan untuk mengidentifikasi karakteristik petani, menganalisis tahapan proses pengambilan keputusan pembelian petani dalam memilih benih bersertifikat dan non sertifikat, dan menganalisis faktor-faktor yang mempengaruhi proses pengambilan keputusan pembelian petani dalam memilih benih kelapa sawit bersertifikat dan non sertifikat di Kabupaten Labuhan Batu Utara. Penelitian ini dianalisis dengan bantuan 100 responden. Metode yang digunakan dalam penelitian ini adalah analisis deskriptif dan regresi logistik. Hasil dari analisis faktor membentuk 3 faktor yang mempengaruhi, yaitu faktor pendidikan, faktor ketahanan terhadap hama, dan penyakit dan faktor harga."
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",2,Analisis Tataniaga Ikan Bandeng di Kecamatan Samudera Kabupaten Aceh Utara ,Ikan Bandenga adalah salah satu Makanan........
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",3,Model Peningkatan Daya Saing Petani Dengan Pendekatan Koperasi Agribisnis di Kota Medan ,"Potensi pertanian di Kecamatan Marelan meskipun dalam skala usaha kecil yang dikelola oleh rumahtangga petani, perlu untuk dikembangkan. Apabila petani memiliki daya saing tinggi maka tingkat pendapatan petani akan meningkat. Sehingga diperlukan sebuah wadah yang mendorong petani untuk lebih meningkatkan produktifitasnya dalam rangka menghasilkan produk yang memiliki daya saing. Disamping itu perlu adanya jaminan pasar yang memberikan tingkat harga menguntungkan bagi petani. Koperasi merupakan salah satu alternatif dalam menyikapi lemahnya akses petani pada berbagai sumberdaya produktif, yaitu modal, teknologi dan informasi pasar.Penelitian ditujukan untuk merumuskan model peningkatan daya saing petani dengan pendekatan koperasi agribisnis. Sampel penelitian adalah petani sayur mayur di Kecamatan Medan Marelan yang diambil secara purposive sampling. Data yang diperoleh diolah dengan menggunakan analisis deskriptif, analisis SWOT dan analisis The House Model. Model peningkatan daya saing petani sayur dapat dilaksanakan dengan memperhatikan aspek faktor internal dan eksternal yang selanjutnya dapat ditetapkan sebuah visi dalam peningkatan daya saing petani yaitu; Dengan Koperasi Agribisnis Petani Produktif dan Berdaya Saing. Adapun aspek yang perlu dilaksanakan untuk mewujudkan visi tersebut adalah aspek komoditi sayur petani, aspek kelembagaan dan aspek komunitas."
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",4,Kontribusi Pendapatan Pengupas Bawang Merah Terhadap  Pendapatan Keluarga ,"Penelitian ini bertujuan untuk mengetahui seberapa besar kontribusi pendapatan pengupas bawang merah terhadap pendapatan keluarga.Teknik pengambilan Sampel dalam penelitian ini menggunakan Simple Random Sampling. Dengan total populasi124 orangdiambil sampel penelitian ini sebanyak 25 orang. Adapun metode analisis data yang digunakan dalam penelitian ini adalah dengan menggunakan analisis deskriptif.Hasil penelitian menunjukkan kontribusi pendapatan pengupas bawang merah sebesar 9,55 %, yang berarti bahwa pendapatan pengupas bawang merah masih tergolong rendah terhadap pendapatan keluarga."
1,"""JASc"" JOURNAL AGRIBUSINESS SCIENCES",5,Leafpay Bettel Toba ,"Saat ini tanaman tomat di Indonesia khususnya di Provinsi Sumatera Utara sangat banyak di minati oleh para petani. Rata-rata produksi tomat di Sumatera Utara pada tahun 2016 mencapai sebanyak 99.883 ton. Pada tahun 2017 terjadi penuruan produksi sebanyak 2.525 ton yaitu 97.358 di sebabakan adanya serangan hama kutu kebul (Bemicia tabaci) dan penyakit layu bakteri (Rastolnia solanacearum) (Badan Pusat Statistik dan Direktorat Jendral Hortikukultura). Serangan hama kutu kebul dan penyakit layu bakteri menyebabkan para petani melakukan pengendalian hama dan pencegahan penyakit layu bakteri dengan menggunakan pestisida berbahan kimia yang menimbulkan resiko terhadap konsumen tomat jika mengkonsumsi tanaman tomat yang sudah mengandung bahan kimia karena efek dari penggunaan pestida berbahan kimia tersebut,Dengan banyaknya keluhan yang di resahkan oleh para petani maka timbulah inisiatif untuk menciptakan sebuah produk berbahan alami (organik) yang berfungsi sebagai pengedali hama kutu kebul dan mencegah timbulnya penyakit layu bakteri serta aman bagi para konsumen tomat."
2,'ADALAH,6,Menentang Gagasan Parlemen Anti-kritik ,"Gagasan Founding Father kita, Soekarno mengenai Pancasila yang dikenal saat ini sejatinya memiliki tujuan khusus, yang sudah sepatutnya dipahami ketika negara Indonesia mengalami kehilangan arah seperti saat ini. Pintu demokrasi yang terbuka lebar secara langsung memberikan ruang tingkat partisipasi yang tinggi dalam penyelenggaraan negara ternyata tidak mencerminkan kemanusiaan yang beradab. Konflik horizontal yang semakin menunjukkan tidak adanya persatuan, dan demokrasi hanya dianggap sebagai tujuan negara telah menjatuhkan Pancasila dari realitas kebangsaan dan kenegaraan. "
2,'ADALAH,7,Kecenderungan Berperilaku Koruptif Pejabat Negara ,"Partai politik (parpol) adalah suatu organisasi yang dijadikan ken-daraan politik agar dapat mengusung calonnya ke kursi pemerintahan. Jadi, seseorang yang ingin menjadi pejabat pemerintahan harus masuk terlebih dahulu ke partai politik (parpol), bukan dengan jalur independen. Independen terjadi apabila seseorang tidak memiliki kendaraan partai politik manapun. Seseorang yang ingin menjadi pejabat pemerintahan harus melewati pesta demokrasi yang biasa disebut pemilihan umum yaitu suatu proses memilih orang untuk mengisi jabatan tertentu."
2,'ADALAH,8,Sikap Bijak Generasi Penerus Menghadapi Krisis Kepemimpinan Dalam Pemilu ,"Mewujudkan pelaksanaan kedaulatan rakyat salah satunya diberikan sarana yaitu Pemilihan Umum (Pemilu). Penyelenggaraan Pemilu diatur dalam UU No.15 Tahun 2011, bahwasanya Pasal 1 angka 1 berbunyi Pemilihan Umum adalah sarana pelaksanaan kedaulatan rakyat yang diselenggarakan secara langsung, umum, bebas, rahasia, jujur, dan adil dalam Negara Kesatuan Republik Indonesia berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945."
3,'Anil Islam: Jurnal Kebudayaan dan Ilmu Keislaman,108,Memahami Islam ala Gus Dur ,"Fenomena terorisme dan kekerasan berlatar agama sangat disayangkan terjadi di Indonesia yang menganut negara Demokrasi Pancasila. Dalam negara demokrasi seperti Indonesia, terorisme dan kekerasan demikian seharusnya tidak perlu terjadi. Seyogianya pemerintah mampu melindungi warganya agar bisa aman dan tenteram tak terganggu oleh tindakan teror macam apapun. Tidak selarasnya persoalan agama dan keyakinan harus diselesaikan dengan kekerasan. Sebab, di negara ini, kebebasan beragama dan berkeyakinan dijamin oleh undang-undang. Apalagi negara Indonesia merupakan negara hukum, sehingga, segala persoalan mestinya harus diselesaikan berdasarkan hukum yang berlaku."
3,'Anil Islam: Jurnal Kebudayaan dan Ilmu Keislaman,109,Jembatan untuk Pendidikan Kontekstual: Refleksi Kritis dari Lapangan ,"Salah satu kritik mendasar terhadap dunia pendidikan saat ini adalah kenyataan bahwa pendidikan, yakni sistem persekolahan, dipandang masih belum mampu menjawab tantangan zaman. Lulusan sekolah masih banyak gagap menghadapi kenyataan hidup di masyarakat saat mereka terjun dan bergelut langsung dalam kehidupan sehari-hari.Salah satu pertanda yang dapat dikemukakan terkait dengan problem krisis sosial-ekologis yang dihadapi umat manusia saat ini. Dalam pandangan sejumlah pihak, sekolah dipandang belum cukup mampu untuk menanamkan kepekaan ekologis atau melek ekologis (ecological literacy) terhadap para siswa di sekolah sehingga siswa gagal memberi tanggapan kritis atas krisis sosial-ekologis yang dihadapi umat manusia.Di sisi yang lain, kesenjangan praktik pendidikan di sekolah dengan kebutuhan masyarakat dan tantangan zaman juga terasa kurang terjembatani oleh dunia akademis, yakni pendidikan tinggi yang mengelola jurusan keguruan dan ilmu pendidikan. Buku berjudul Mendidik Pemenang Bukan Pecundang yang ditulis oleh dua orang praktisi pendidikan ini kiranya dapat menjadi jembatan untuk menghidupkan kembali pendidikan kritis dan pendidikan kontekstual. Pendidikan kritis dan pendidikan kontekstual yang dimaksudkan di sini adalah model pendidikan yang mampu menanamkan kepekaan kepada para peserta didiknya atas situasi masyarakat yang bergerak cepat dan praktik pendidikan yang mampu menjawab tantangan zaman di masa mendatang."
3,'Anil Islam: Jurnal Kebudayaan dan Ilmu Keislaman,112,Memanusiakan Murid Sejak di Dalam Kelas ,"Karya-karya Chatib sebelumnya ialah: Sekolahnya Manusia (terbit pada tahun 2009), Gurunya Manusia (2011), Sekolah Anak-Anak Juara (2012), dan Orangtuanya Manusia (2012). Kemudian Kelasnya Manusia: Memaksimalkan Fungsi Otak Belajar dengan Manajemen Display Kelas yang ada di tangan pembaca ini. Sebenarnya, dari beberapa karya Chatib sebelumnya, sudah ?tercium? ide dasar dan pemikiran pokok Chatib, dengan terbitnya buku Kelasnya Manusia ini, semakin mempertegas ide dasar itu, yaitu: memanusiakan peserta didik. Juga penting dan mendesaknya merancang pendidikan?dan lembaga pendidikan, tentunya?yang tetap menjaga kemanusiaan peserta didik itu. Karena mereka bukan robot, benda mati, dan bukan sekedar objek kepintaran guru."
4,(JRAMB) Jurnal Riset Akuntansi Mercu Buana,113,FAKTOR-FAKTOR YANG MEMPENGARUHI PENGUNGKAPAN TANGGUNG JAWAB SOSIAL PERUSAHAAN ,"Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhipengungkapan tanggung jawab sosial perusahaan pada perusahaan barang konsumsiyang terdaftar di BEI tahun 2010-2013. Variabel independen dalam penelitian iniadalah ukuran perusahaan, umur listing perusahaan, kepemilikan institusional,kepemilikan asing, ukuran dewan komisaris, independensi komite audit, strukturmodal, dan profitabilitas. Sampel penelitian yang digunakan sebanyak 12 perusahaan.Metode yang digunakan adalah uji asumsi klasik yang terdiri dari uji normalitas, ujimultikolinearitas, dan uji heteroskedastisitas. Pengujian hipotesis dilakukan denganmenggunakan uji koefisien determinasi, uji F, dan uji t. Hasil analisis datamenunjukkan bahwa umur listing perusahaan, kepemilikan institusional, kepemilikanasing, ukuran dewan komisaris, dan profitabilitas berpengaruh terhadappengungkapan tanggung jawab sosial perusahaan sedangkan ukuran perusahaan,independensi komite audit, dan struktur modal tidak berpengaruh terhadappengungkapan tanggung jawab sosial perusahaan.Kata kunci : ukuran perusahaan, umur listing perusahaan, kepemilikan institusional,kepemilikan asing, ukuran dewan komisaris, independensi komite audit,struktur modal, profitabilitas, dan pengungkapan tanggung jawab sosial"
4,(JRAMB) Jurnal Riset Akuntansi Mercu Buana,114,"ANALISIS PENGARUH RESTRUKTURISASI KEUANGAN TERHADAP KINERJA PERUSAHAAN (Studi Kasus pada PT. Elnusa, Tbk) ","ABSTRAK Penelitian ini bertujuan untuk menguji pengaruh restrukturisasi keuangan terhadap kinerja perusahaan. Penelitian ini dilakukan pada PT. Elnusa Tbk. Jenis data yang digunakan dalam penelitian ini merupakan data sekunder yang telah dipublikasikan oleh Bursa Efek Indonesia melalui ICMD tahun 2006 sampai dengan 2013 dan pusat Referensi Pasar Modal (PRPM). Uji hipotesis menggunakan regresi linier berganda, asumsi klasik dan Uji T serta Uji F. Hasil penelitian menunjukkan bahwa tidak terdapat perbedaan likuiditas, leverage dan profitabilitas sebelum dan sesudah restrukturisasi dan restrukturisasi tidak memberikan pengaruh signifikan terhadap kinerja perusahaan baik secara parsial maupun bersama-sama. Kata kunci : restrukturisasi keuangan, kinerja perusahaan"
4,(JRAMB) Jurnal Riset Akuntansi Mercu Buana,115,Pengaruh Belanja Modal Terhadap Pertumbuhan Ekonomi Dan Kesejahteraan Masyarakat Di Pulau Kalimantan ,"Penelitian ini bertujuan untuk mengetahui apakah terdapat pengaruh yang positif dari belanja modal terhadap pertumbuhan ekonomi, pertumbuhan ekonomi terhadap kesejahteraan ekonomi, dan belanja ekonomi terhadap kesejahteraan masyarakat di Pulau Kalimantan. Sumber data yang digunakan adalah data sekunder yang berupa laporan keuangan (APBD) Pemerintah Daerah di Pulau Kalimantan tahun 2006 hingga tahun 2013. Teknik analisis yang digunakan adalah dengan analisis Partial Least Square (PLS). Pengujian ini dilakukan di seluruh kabupaten/kota di Pulau Kalimantan. Dari hasil pengujian diperoleh hasil bahwa: 1) Belanja Modal memiliki pengaruh yang negatif dan signifikan terhadap Pertumbuhan Ekonomi, 2) Pertumbuhan Ekonomi memiliki pengaruh yang negatif dan signifikan terhadap Kesejahteraan Masyarakat, 3) Belanja Modal memiliki pengaruh yang positif dan signifikan terhadap Kesejahteraan Masyarakat."
5,2-TRIK: TUNAS-TUNAS RISET KESEHATAN,151,TINJAUAN PENGETAHUAN PETUGAS  PENDAFTARAN TENTANG PENYELENGGARAAN REKAM MEDIS DITEMPAT PENDAFTARAN  PASIEN RAWAT JALAN RSU MUHAMMADIYAH PONOROGO ,"Tempat pendaftaran pasien rawat jalan di RSU Muhammadiyah Ponorogo diketahui bahwa pelayanan pendaftaran rawat jalannya belum optimal. Kesalahan dalam proses identifikasi di bagian pendaftaran di sebabkan kurangnya pengetahuan petugas.  Desain penelitian ini adalah deskriptif dengan pendekatan kualitatif. Teknik sampling nya adalah sampling jenuh. Populasi penelitian ini seluruh petugas pendaftaran berjumlah 13 orang. Metode pengumpulan data menggunakan kuesioner.						 Berdasarkan hasil penelitian yang dilakukan dengan metode kuesioner meliputi identifikasi, penamaan, dan penomoran hampir seluruh responden baik sebanyak 11 orang dengan presentase 85%. Pengetahuan petugas akan jauh lebih baik apabila dengan cara mengikuti pelatihan dan seminar tentang rekam medis sehingga lebih banyak lagi pemahaman yang didapat."
5,2-TRIK: TUNAS-TUNAS RISET KESEHATAN,152,HUBUNGAN  PENGETAHUAN PERSONAL HYGIENE DENGAN KEJADIAN SKABIES DI DESA HAYA KECAMATAN TEHORU KABUPATEN MALUKU TENGAH ,"Pengetahuan akan pentingnya kesehatan sekarang ini semakin berkurang dilihat dari kehidupan sehari-hari masyarakat yang semakin tidak peduli dengan lingkungannya. Sehingga banyak penyakit yang di derita masyarakat terutama Skabies.Menurut data WHO pada tahun (2014) angka kejadian skabies sebanyak 130 juta orang di dunia dan di beberapa negara berkembang berprevalensi sekitar 6%-27% populasi. Penelitian ini bertujuan untuk mengetahui hubungan  pengetahuanpersonal hygiene dengan  kejadian skabies di Desa Haya tahun 2017. Penelitian  ini menggunakan desain penelitian cross sectional, sampel penelitian di tentukan dengan  menggunakan teknik random  sampling yang berjumlah 89 responden. Instrumen penelitian  menggunakan  koesioner. Pengolahan data dengan SPSS, menggunakan  uji chi- square. Hasil dalam penelitian ini menunjukan bahwa Ada Hubungan Antara Personal Hygiene Dengan  Kejadian Skabies di Desa Haya Tahun 2017 secara keseluruhan di peroleh  nilai p=0,001. Kesimpulan  Didaptakan 39 orang dari 89 responden yang menjadi sampel mengalami skabies dengan nilai pvalue= 0,001.Serta lebih dari setengah responden  memiliki personal hygiene yang baik dan gambaran masing-masing personal hygiene responden. Lebih meningkatkan pengetahuan tentang pentingnya personal hygiene agar terhindar dari berbagai macam penyakit.    Kata Kunci: Pengetahuan, Personal hygiene, Skabies"
5,2-TRIK: TUNAS-TUNAS RISET KESEHATAN,153,TRANMISI BERKAS SINAR-X 6 MV UNTUK LAPANGAN TIDAK TERATUR DENGAN UKURAN SHIELDING BLOK CERROBEN 10 CM X 8 CM. ,"Penelitian ini membahas dosis transmisi pada lapangan yang diblok dengan cerrobend untuk berkas sinar- X 6 MV, pesawat linear accelerator Siemens Primus 2D Plus dengan lapangan dasar 20 cm x 20 cm. Pengukuran dilakukan dengan ionisasi chamber PTW 2D Array seven29 pada titik dalam phantom akrilik untuk lapangan yang diblok dan lapangan yang tidak dilindungi blok dengan bentuk blok yang divariasikan kedalamannya. Panjang Blok 10 cm dengan lebar 8 cm dengan kedalaman pengukuran 5, 8, 10, 12, 15 cm, dari hasil pengukuran diperoleh nilai transmisi dosis 5.9% untuk kedalaman 5 cm, untuk kedalaman 8 cm 7.4%, kedalaman 10 cm 8.5%, kedalaman 12 cm 9.7 % dan kedalaman 15 cm 11.3%. Persentasi dosis transmisi akan meningkat dengan kenaikan kedalaman blok cerrobend. Hasil pengukuran dibandingkan dengan hasil TPS.    Kata kunci:  Blok cerrobend, persentase transmisi dosis, daerah transisi"
